username,followers,follwing,location,creation date,number of tweets,Retweet Ratio,Profile Picture,Bot Score
DeplrbleRzistr,60694,60882,,2017-02-25 21:31:24,145224,0.8802969378286422,No Face,15
realDonaldTrump,82596436,46,"Washington, DC",2009-03-18 13:46:38,53254,0.39749999999999996,Has A Face,3
DeniseJacob17,4016,5001,"Leominster, MA",2017-07-05 02:06:51,47551,0.9614299153339605,No Face,16
MeltingInMarana,79531,82044,AZ,2011-03-28 17:22:05,127900,0.7424005014102162,No Face,15
inittowinit007,104949,77502,United States,2016-02-17 01:50:05,500337,0.9843603378167032,No Face,15
Aliciastarr001,46994,49394,California (Bay Area),2016-02-06 20:38:28,136380,0.9566965666563563,No Face,15
CletusRay4,2592,2146,United States,2019-01-20 16:55:39,117428,0.9343386742067232,No Face,15
DavidHu86480982,7292,8021,"Indianapolis, IN",2018-08-05 14:28:24,157054,0.9583858764186634,No Face,16
BarackObama,120249599,604167,"Washington, DC",2007-03-05 22:08:25,15856,0.11100746268656714,Has A Face,6
HillaryClinton,28185513,843,"New York, NY",2013-04-09 18:04:35,11746,0.21300863131935877,Has A Face,3
